id,week,month,monthofyear,year
20170212,2017W06,201702,02,2017
20170213,2017W07,201702,02,2017
20170214,2017W07,201702,02,2017
20170215,2017W07,201702,02,2017
20170216,2017W07,201702,02,2017
20170217,2017W07,201702,02,2017
20170218,2017W07,201702,02,2017
20170219,2017W07,201702,02,2017
20170220,2017W08,201702,02,2017
20170221,2017W08,201702,02,2017
20170222,2017W08,201702,02,2017
20170223,2017W08,201702,02,2017
20170224,2017W08,201702,02,2017
20170225,2017W08,201702,02,2017
20170226,2017W08,201702,02,2017
20170227,2017W09,201702,02,2017
20170228,2017W09,201702,02,2017
20170301,2017W09,201703,03,2017
20170302,2017W09,201703,03,2017
20170303,2017W09,201703,03,2017
20170304,2017W09,201703,03,2017
20170305,2017W09,201703,03,2017
20170306,2017W10,201703,03,2017
20170307,2017W10,201703,03,2017
20170308,2017W10,201703,03,2017
20170309,2017W10,201703,03,2017
20170310,2017W10,201703,03,2017
20170311,2017W10,201703,03,2017
20170312,2017W10,201703,03,2017
20170313,2017W11,201703,03,2017
20170314,2017W11,201703,03,2017
20170315,2017W11,201703,03,2017
20170316,2017W11,201703,03,2017
20170317,2017W11,201703,03,2017
20170318,2017W11,201703,03,2017
20170319,2017W11,201703,03,2017
20170320,2017W12,201703,03,2017
20170321,2017W12,201703,03,2017
20170322,2017W12,201703,03,2017
20170323,2017W12,201703,03,2017
20170324,2017W12,201703,03,2017
20170325,2017W12,201703,03,2017
20170326,2017W12,201703,03,2017
20170327,2017W13,201703,03,2017
20170328,2017W13,201703,03,2017
20170329,2017W13,201703,03,2017
20170330,2017W13,201703,03,2017
20170331,2017W13,201703,03,2017
20170401,2017W13,201704,04,2017
20170402,2017W13,201704,04,2017
20170403,2017W14,201704,04,2017
20170404,2017W14,201704,04,2017
20170405,2017W14,201704,04,2017
20170406,2017W14,201704,04,2017
20170407,2017W14,201704,04,2017
20170408,2017W14,201704,04,2017
20170409,2017W14,201704,04,2017
20170410,2017W15,201704,04,2017
20170411,2017W15,201704,04,2017
20170412,2017W15,201704,04,2017
