id,dateofsemiday,time
20160622N,20160622,N
20160623D,20160623,D
20160623N,20160623,N
20160624D,20160624,D
20160624N,20160624,N
20160625D,20160625,D
20160625N,20160625,N
20160626D,20160626,D
20160626N,20160626,N
20160627D,20160627,D
20160627N,20160627,N
20160628D,20160628,D
20160628N,20160628,N
20160629D,20160629,D
20160629N,20160629,N
20160630D,20160630,D
20160630N,20160630,N
20160701D,20160701,D
20160701N,20160701,N
20160702D,20160702,D
20160702N,20160702,N
20160703D,20160703,D
20160703N,20160703,N
20160704D,20160704,D
20160704N,20160704,N
20160705D,20160705,D
20160705N,20160705,N
20160706D,20160706,D
20160706N,20160706,N
20160707D,20160707,D
20160707N,20160707,N
20160708D,20160708,D
20160708N,20160708,N
20160709D,20160709,D
20160709N,20160709,N
20160710D,20160710,D
20160710N,20160710,N
20160711D,20160711,D
20160711N,20160711,N
20160712D,20160712,D
20160712N,20160712,N
20160713D,20160713,D
20160713N,20160713,N
20160714D,20160714,D
20160714N,20160714,N
20160715D,20160715,D
20160715N,20160715,N
20160716D,20160716,D
20160716N,20160716,N
20160717D,20160717,D
20160717N,20160717,N
20160718D,20160718,D
20160718N,20160718,N
20160719D,20160719,D
20160719N,20160719,N
20160720D,20160720,D
20160720N,20160720,N
20160721D,20160721,D
20160721N,20160721,N
20160722D,20160722,D
20160722N,20160722,N
20160723D,20160723,D
20160723N,20160723,N
20160724D,20160724,D
20160724N,20160724,N
20160725D,20160725,D
20160725N,20160725,N
20160726D,20160726,D
20160726N,20160726,N
20160727D,20160727,D
20160727N,20160727,N
20160728D,20160728,D
20160728N,20160728,N
20160729D,20160729,D
20160729N,20160729,N
20160730D,20160730,D
20160730N,20160730,N
20160731D,20160731,D
20160731N,20160731,N
20160801D,20160801,D
20160801N,20160801,N
20160802D,20160802,D
20160802N,20160802,N
20160803D,20160803,D
20160803N,20160803,N
20160804D,20160804,D
20160804N,20160804,N
20160805D,20160805,D
20160805N,20160805,N
20160806D,20160806,D
20160806N,20160806,N
20160807D,20160807,D
20160807N,20160807,N
20160808D,20160808,D
20160808N,20160808,N
20160809D,20160809,D
20160809N,20160809,N
20160810D,20160810,D
20160810N,20160810,N
20160811D,20160811,D
20160811N,20160811,N
20160812D,20160812,D
20160812N,20160812,N
20160813D,20160813,D
20160813N,20160813,N
20160814D,20160814,D
20160814N,20160814,N
20160815D,20160815,D
20160815N,20160815,N
20160816D,20160816,D
20160816N,20160816,N
20160817D,20160817,D
20160817N,20160817,N
20160818D,20160818,D
20160818N,20160818,N
20160819D,20160819,D
20160819N,20160819,N
20160820D,20160820,D
20160820N,20160820,N
20160821D,20160821,D
20160821N,20160821,N
20160822D,20160822,D
20160822N,20160822,N
20160823D,20160823,D
20160823N,20160823,N
20160824D,20160824,D
20160824N,20160824,N
20160825D,20160825,D
20160825N,20160825,N
20160826D,20160826,D
20160826N,20160826,N
20160827D,20160827,D
20160827N,20160827,N
20160828D,20160828,D
20160828N,20160828,N
20160829D,20160829,D
20160829N,20160829,N
20160830D,20160830,D
20160830N,20160830,N
20160831D,20160831,D
20160831N,20160831,N
20160901D,20160901,D
20160901N,20160901,N
20160902D,20160902,D
20160902N,20160902,N
20160903D,20160903,D
