lon,lon
-8.31599235534668,-8.315992
-8.265946388244629,-8.265946
-8.215900421142578,-8.2159
-8.165854454040527,-8.165854
-8.115808486938477,-8.1158085
-8.065762519836426,-8.0657625
-8.015716552734375,-8.015717
-7.965670585632324,-7.9656706
-7.915624618530273,-7.9156246
-7.865578651428223,-7.8655787
-7.815532684326172,-7.8155327
-7.765486717224121,-7.7654867
-7.71544075012207,-7.7154408
-7.6653947830200195,-7.665395
-7.615348815917969,-7.615349
-7.565302848815918,-7.565303
-7.515256881713867,-7.515257
-7.465210914611816,-7.465211
-7.415165901184082,-7.415166
-7.365119934082031,-7.36512
-7.3150739669799805,-7.315074
-7.26502799987793,-7.265028
-7.214982032775879,-7.214982
-7.164936065673828,-7.164936
-7.114890098571777,-7.11489
-7.064844131469727,-7.064844
-7.014798164367676,-7.014798
-6.964752197265625,-6.964752
-6.914706230163574,-6.914706
-6.864660263061523,-6.8646603
-6.814614295959473,-6.8146143
-6.764568328857422,-6.7645683
-6.714522361755371,-6.7145224
-6.66447639465332,-6.6644764
-6.6144304275512695,-6.6144304
-6.564384460449219,-6.5643845
-6.514338493347168,-6.5143385
-6.464292526245117,-6.4642925
-6.414246559143066,-6.4142466
-6.364200592041016,-6.3642006
-6.314154624938965,-6.3141546
-6.264108657836914,-6.2641087
-6.214062690734863,-6.2140627
-6.1640167236328125,-6.1640167
-6.113970756530762,-6.1139708
-6.063924789428711,-6.063925
-6.01387882232666,-6.013879
-5.963832855224609,-5.963833
-5.913786888122559,-5.913787
-5.863740921020508,-5.863741
-5.813694953918457,-5.813695
-5.763648986816406,-5.763649
-5.7136030197143555,-5.713603
-5.663557052612305,-5.663557
-5.613511085510254,-5.613511
-5.563465118408203,-5.563465
-5.513419151306152,-5.513419
-5.463373184204102,-5.463373
-5.413327217102051,-5.413327
-5.36328125,-5.3632812
-5.313235282897949,-5.3132353
-5.263189315795898,-5.2631893
-5.213143348693848,-5.2131433
-5.163097381591797,-5.1630974
-5.113051414489746,-5.1130514
-5.063005447387695,-5.0630054
-5.0129594802856445,-5.0129595
-4.962913513183594,-4.9629135
-4.912867546081543,-4.9128675
-4.862821578979492,-4.8628216
-4.812775611877441,-4.8127756
-4.762729644775391,-4.7627296
-4.71268367767334,-4.7126837
